Id;X  [mm];Y  [mm];Z  [mm];U(95)  [mm];U(95) X  [mm];U(95) Y  [mm];U(95) Z  [mm];Target;Temperature  [°C];Pressure  [mBar];Humidity  [%];Time Stamp;Delete;
46;-38919,120;5411,068;938,426;0,000;0,000;0,000;0,000;RRR 1.5in;12,2;990;33;'26.11.2024 15:28:36.484;;
47;-38919,121;5411,058;938,431;0,000;0,000;0,000;0,000;RRR 1.5in;12,2;990;33;'26.11.2024 15:28:36.485;;
48;-38919,121;5411,057;938,425;0,000;0,000;0,000;0,000;RRR 1.5in;12,2;990;33;'26.11.2024 15:28:36.486;;
49;-38919,119;5411,064;938,438;0,000;0,000;0,000;0,000;RRR 1.5in;12,2;990;33;'26.11.2024 15:28:36.487;;
50;-38919,117;5411,075;938,434;0,000;0,000;0,000;0,000;RRR 1.5in;12,2;990;33;'26.11.2024 15:28:36.488;;
51;-38919,116;5411,073;938,432;0,000;0,000;0,000;0,000;RRR 1.5in;12,2;990;33;'26.11.2024 15:28:36.489;;
52;-38919,117;5411,066;938,429;0,000;0,000;0,000;0,000;RRR 1.5in;12,2;990;33;'26.11.2024 15:28:36.490;;
53;-38919,117;5411,063;938,422;0,000;0,000;0,000;0,000;RRR 1.5in;12,2;990;33;'26.11.2024 15:28:36.491;;
54;-38919,117;5411,058;938,438;0,000;0,000;0,000;0,000;RRR 1.5in;12,2;990;33;'26.11.2024 15:28:36.492;;
55;-38919,115;5411,065;938,436;0,000;0,000;0,000;0,000;RRR 1.5in;12,2;990;33;'26.11.2024 15:28:36.493;;
56;-38919,115;5411,064;938,429;0,000;0,000;0,000;0,000;RRR 1.5in;12,2;990;33;'26.11.2024 15:28:36.494;;
57;-38919,115;5411,059;938,429;0,000;0,000;0,000;0,000;RRR 1.5in;12,2;990;33;'26.11.2024 15:28:36.495;;
58;-38919,113;5411,068;938,434;0,000;0,000;0,000;0,000;RRR 1.5in;12,2;990;33;'26.11.2024 15:28:36.496;;
59;-38919,113;5411,064;938,433;0,000;0,000;0,000;0,000;RRR 1.5in;12,2;990;33;'26.11.2024 15:28:36.497;;
60;-38919,112;5411,065;938,428;0,000;0,000;0,000;0,000;RRR 1.5in;12,2;990;33;'26.11.2024 15:28:36.498;;
61;-38919,113;5411,054;938,435;0,000;0,000;0,000;0,000;RRR 1.5in;12,2;990;33;'26.11.2024 15:28:36.499;;
62;-38919,112;5411,060;938,422;0,000;0,000;0,000;0,000;RRR 1.5in;12,2;990;33;'26.11.2024 15:28:36.500;;
63;-38919,111;5411,062;938,420;0,000;0,000;0,000;0,000;RRR 1.5in;12,2;990;33;'26.11.2024 15:28:36.501;;
64;-38919,110;5411,062;938,426;0,000;0,000;0,000;0,000;RRR 1.5in;12,2;990;33;'26.11.2024 15:28:36.502;;
65;-38919,109;5411,068;938,426;0,000;0,000;0,000;0,000;RRR 1.5in;12,2;990;33;'26.11.2024 15:28:36.503;;
66;-38919,107;5411,073;938,426;0,000;0,000;0,000;0,000;RRR 1.5in;12,2;990;33;'26.11.2024 15:28:36.504;;
67;-38919,108;5411,064;938,433;0,000;0,000;0,000;0,000;RRR 1.5in;12,2;990;33;'26.11.2024 15:28:36.505;;
