;DeltaX [m];DeltaY [m];DeltaZ [m];Alpha(Z) [rad];Beta(X) [rad];Gamma(Y) [rad];Erreur [m²];Pourcentage [%]
Valeurs;-1733442,3610192859;-5237898,942366456;-281,38624740823803;4,237633795652184;-7,320172619440029e-05;-0,00046783884084118725;0,007367814650590883;100,0
Sigma;0,008881542839675528;0,004907570844910152;0,025826202363003845;0,00023983545904361075;0,0004182327468024269;0,0007609163138248955;0,0023226281283871037;100,0
