Numéro de point;DateTime [s];X [m];Y [m];Z [m];SigmaX [m];SigmaY [m];SigmaZ [m]
45;2024-11-26 15:28:36.484;1733455,3389231025;5237861,854362756;282,343435080702;0,012642690262412982;0,005836899758051158;0,039118496273891995
46;2024-11-26 15:28:36.485;1733455,33890668;5237861,854381598;282,3428696503661;0,012447520842105129;0,005837576691832973;0,03930564110378873
47;2024-11-26 15:28:36.486;1733455,3388909337;5237861,854406537;282,3435590302668;0,012587066631080925;0,005817679529858915;0,03965796158297554
48;2024-11-26 15:28:36.487;1733455,339017622;5237861,854443831;282,3430630179732;0,012476869109076121;0,005902592114250692;0,03936980658409483
49;2024-11-26 15:28:36.488;1733455,338760352;5237861,854422072;282,3433508868714;0,012567509321764548;0,005830160165878418;0,03931416055888806
50;2024-11-26 15:28:36.489;1733455,3388223983;5237861,854329695;282,3425748674469;0,012768187852682382;0,005837601157355783;0,03924882350994059
51;2024-11-26 15:28:36.490;1733455,3388914422;5237861,854419057;282,3434364860066;0,012434056088854924;0,005839276853293669;0,03939678661962841
52;2024-11-26 15:28:36.491;1733455,3388022305;5237861,854466732;282,3431043743419;0,012581433248164464;0,005861938025290721;0,03907496320487493
53;2024-11-26 15:28:36.492;1733455,3392185844;5237861,85452364;282,3438847481913;0,01275883520024124;0,005880754370780504;0,039262346816372785
54;2024-11-26 15:28:36.493;1733455,3389879994;5237861,854485704;282,3430113551199;0,012521260763297527;0,005826758548878042;0,03908042383721205
55;2024-11-26 15:28:36.494;1733455,3389913086;5237861,854442156;282,34342238437284;0,012593875700477961;0,005803179496033279;0,03901619957329005
56;2024-11-26 15:28:36.495;1733455,3389102821;5237861,854527387;282,3430045771247;0,01252891249421953;0,0058465978846213625;0,03952139307108829
57;2024-11-26 15:28:36.496;1733455,3390138058;5237861,854454051;282,3438156711792;0,012371877714114781;0,005827517076864481;0,03983995458290501
58;2024-11-26 15:28:36.497;1733455,3390003892;5237861,854439893;282,3427749594621;0,01261553468774589;0,0058775631665674176;0,03966604217721968
59;2024-11-26 15:28:36.498;1733455,3388984748;5237861,854390288;282,34297397829084;0,012614629760317379;0,005833718509579262;0,03993986404520998
60;2024-11-26 15:28:36.499;1733455,3389549267;5237861,854479809;282,343737646504;0,012655265400819932;0,005855163975860693;0,038941011623284554
61;2024-11-26 15:28:36.500;1733455,3389729573;5237861,854475044;282,34369719989905;0,012550394364069815;0,005826643959268715;0,039115936213519754
62;2024-11-26 15:28:36.501;1733455,339148644;5237861,854493815;282,3429086820617;0,012577320396688093;0,005884011792624263;0,03949459583403088
63;2024-11-26 15:28:36.502;1733455,3389256378;5237861,854483221;282,343404103065;0,01261359866007322;0,005931517734244771;0,0390809503831718
64;2024-11-26 15:28:36.503;1733455,3390253594;5237861,854474473;282,3432417177023;0,012450634435708138;0,005830937721912455;0,03937881048613833
65;2024-11-26 15:28:36.504;1733455,338970216;5237861,854457985;282,34424338459763;0,012702224876874769;0,00587618358874455;0,039439779780608246
66;2024-11-26 15:28:36.505;1733455,3389120114;5237861,854505359;282,34328341268537;0,012615201838817374;0,005793359773632344;0,03902930265064757
67;2024-11-26 15:28:36.506;1733455,3389462242;5237861,854419889;282,343172386618;0,012666293532422825;0,005838870782309015;0,03899127963031993
68;2024-11-26 15:28:36.507;1733455,3388442348;5237861,854413493;282,3435560477129;0,012587490717869836;0,005849396588032262;0,0394194667418334
69;2024-11-26 15:28:36.508;1733455,3390829146;5237861,854429239;282,3425598884191;0,012672062922867234;0,005886954863311248;0,03914317103399127
70;2024-11-26 15:28:36.509;1733455,339025727;5237861,8544661505;282,3427203836792;0,012516547862526173;0,005794353731073736;0,03938622835218467
71;2024-11-26 15:28:36.510;1733455,3388447315;5237861,854531005;282,34345878651527;0,012600554483920182;0,005926528428569096;0,04004434908757634
72;2024-11-26 15:28:36.511;1733455,3389989906;5237861,854573336;282,3427871490639;0,012811281603622918;0,005813826011260511;0,03890334169330224
73;2024-11-26 15:28:36.512;1733455,3387230805;5237861,854375719;282,34281424534845;0,01258423952970025;0,005897412601340514;0,03914767439411455
74;2024-11-26 15:28:36.513;1733455,338946936;5237861,854455745;282,34308318506817;0,012707021800042604;0,005830932926048466;0,03982895800514557
75;2024-11-26 15:28:36.514;1733455,3387198898;5237861,854326238;282,3436883904345;0,012507480312277152;0,005890284666362557;0,03895356921166956
76;2024-11-26 15:28:36.515;1733455,3389716404;5237861,854411073;282,3432014805609;0,012676005262935037;0,0058196843761829445;0,038822483236871215
77;2024-11-26 15:28:36.516;1733455,3391226432;5237861,854459279;282,34357788874536;0,012676386646637157;0,0058586187974191935;0,0389579415279373
78;2024-11-26 15:28:36.517;1733455,3391211273;5237861,854583017;282,3433179236592;0,012578234578594964;0,005850940364048717;0,03975673216495288
79;2024-11-26 15:28:36.518;1733455,3390924272;5237861,854593537;282,3430786880268;0,012513069904438325;0,005870627862324462;0,03920089975095566
80;2024-11-26 15:28:36.519;1733455,339046951;5237861,854504058;282,34284791649856;0,012500815426481529;0,005830679668009509;0,038876415941965
81;2024-11-26 15:28:36.520;1733455,3391636952;5237861,854463125;282,34247686454825;0,012551693319242283;0,00587650750020048;0,039452244380272644
82;2024-11-26 15:28:36.521;1733455,3389688507;5237861,854527999;282,3436473045495;0,012684991609806327;0,00589040010901129;0,03970802521878444
83;2024-11-26 15:28:36.522;1733455,339007177;5237861,854443723;282,3435839357031;0,012530351505796344;0,005864187497574123;0,03950821978059596
84;2024-11-26 15:28:36.523;1733455,3388745086;5237861,854416122;282,3434503590429;0,012462012861473297;0,005798882859422055;0,039174294288919144
85;2024-11-26 15:28:36.524;1733455,3389447364;5237861,854550655;282,3433776455665;0,012571327073962565;0,005853242576445984;0,03930289522238161
86;2024-11-26 15:28:36.525;1733455,339020642;5237861,85450637;282,343251771119;0,01253035700975133;0,005887052883444858;0,03905324951139982
87;2024-11-26 15:28:36.526;1733455,3389867118;5237861,854528617;282,34297423513857;0,012656076080036705;0,0058623705697164455;0,03922681419408009
88;2024-11-26 15:28:36.527;1733455,3391712033;5237861,854429484;282,34343790739604;0,012502745780286886;0,005838929517080215;0,03980630182913445
89;2024-11-26 15:28:36.528;1733455,3390731555;5237861,854565589;282,34236313119277;0,012699597710000234;0,005849271791962939;0,03929543969730471
90;2024-11-26 15:28:36.529;1733455,338996414;5237861,854422179;282,3436358815261;0,01246332473899162;0,005825176285536158;0,039820150960137725
91;2024-11-26 15:28:36.530;1733455,339031292;5237861,854518443;282,34407345880123;0,012578127484531125;0,005886459459193003;0,038662624954453606
92;2024-11-26 15:28:36.531;1733455,339317835;5237861,854534601;282,34281397038745;0,012552683435791202;0,005831949584592558;0,039016161679373905
93;2024-11-26 15:28:36.532;1733455,3387662056;5237861,854457856;282,34338782160705;0,01263984417507381;0,005864474568001347;0,03959081339654793
94;2024-11-26 15:28:36.533;1733455,3389967587;5237861,854508661;282,3431255375927;0,012723114720632594;0,005933116647698972;0,03928528970798224
95;2024-11-26 15:28:36.534;1733455,3391238102;5237861,854482673;282,34351726986483;0,012561618358567037;0,005767750082909669;0,03983489288922057
96;2024-11-26 15:28:36.535;1733455,3388015942;5237861,854567108;282,34353366517547;0,012493455469394633;0,005921647789753491;0,03932212002478389
97;2024-11-26 15:28:36.536;1733455,3391589269;5237861,854512134;282,34259981981853;0,01265231330894047;0,005811881810473568;0,03923783946684549
98;2024-11-26 15:28:36.537;1733455,3389535614;5237861,854458301;282,34310513136654;0,01254437897560361;0,00581879114041617;0,03901945536141369
99;2024-11-26 15:28:36.538;1733455,33899263;5237861,854545233;282,34411738713146;0,012614622427312632;0,005845439473865299;0,03961665931875599
