Point coordinates for job mesures loc avec TSCF

    Point        East        North       Elev            Code         HzPrec  VtPrec  PDOP Sats
TRAJ082       1733447.826  5237878.683  280.071                         0.010   0.012  1.1   26
TRAJ083       1733447.906  5237877.966  280.098                         0.007   0.009  1.0   26
TRAJ084       1733447.957  5237877.249  280.101                         0.006   0.008  1.0   26
TRAJ085       1733448.019  5237876.578  280.121                         0.006   0.007  1.0   26
TRAJ086       1733448.121  5237875.778  280.144                         0.009   0.011  1.0   26
TRAJ087       1733448.242  5237875.087  280.180                         0.006   0.008  1.0   26
TRAJ088       1733448.435  5237874.390  280.208                         0.005   0.006  1.0   26
TRAJ089       1733448.629  5237873.699  280.235                         0.006   0.007  1.0   27
TRAJ090       1733448.852  5237873.022  280.259                         0.008   0.009  1.0   27
TRAJ091       1733449.093  5237872.412  280.269                         0.006   0.007  1.0   27
TRAJ092       1733449.382  5237871.755  280.283                         0.006   0.007  1.0   27
TRAJ093       1733449.708  5237871.025  280.307                         0.005   0.006  1.0   27
TRAJ094       1733450.023  5237870.308  280.318                         0.006   0.006  1.0   27
TRAJ095       1733450.309  5237869.734  280.315                         0.007   0.008  1.0   27
TRAJ096       1733450.566  5237869.181  280.314                         0.006   0.007  0.9   28
TRAJ097       1733450.851  5237868.560  280.305                         0.005   0.006  0.9   28
TRAJ098       1733451.157  5237867.943  280.274                         0.007   0.008  1.0   28
TRAJ099       1733451.504  5237867.261  280.240                         0.008   0.010  0.9   28
TRAJ100       1733451.819  5237866.622  280.187                         0.008   0.009  0.9   28
TRAJ101       1733452.158  5237865.970  280.147                         0.007   0.008  0.9   28
TRAJ102       1733452.476  5237865.388  280.115                         0.007   0.008  0.9   28
TRAJ103       1733452.840  5237864.764  280.070                         0.007   0.008  0.9   28
TRAJ104       1733453.148  5237864.203  280.050                         0.006   0.008  0.9   28
TRAJ105       1733453.487  5237863.664  280.028                         0.007   0.010  0.9   28
TRAJ106       1733453.845  5237863.074  280.013                         0.008   0.010  0.9   28
TRAJ107       1733454.220  5237862.521  280.016                         0.007   0.008  1.0   28
